settlement_date,settlement_code,profiled_spm_consumption_sp01,profiled_spm_consumption_sp02,profiled_spm_consumption_sp03,profiled_spm_consumption_sp04,profiled_spm_consumption_sp05,profiled_spm_consumption_sp06,profiled_spm_consumption_sp07,profiled_spm_consumption_sp08,profiled_spm_consumption_sp09,profiled_spm_consumption_sp10,profiled_spm_consumption_sp11,profiled_spm_consumption_sp12,profiled_spm_consumption_sp13,profiled_spm_consumption_sp14,profiled_spm_consumption_sp15,profiled_spm_consumption_sp16,profiled_spm_consumption_sp17,profiled_spm_consumption_sp18,profiled_spm_consumption_sp19,profiled_spm_consumption_sp20,profiled_spm_consumption_sp21,profiled_spm_consumption_sp22,profiled_spm_consumption_sp23,profiled_spm_consumption_sp24,profiled_spm_consumption_sp25,profiled_spm_consumption_sp26,profiled_spm_consumption_sp27,profiled_spm_consumption_sp28,profiled_spm_consumption_sp29,profiled_spm_consumption_sp30,profiled_spm_consumption_sp31,profiled_spm_consumption_sp32,profiled_spm_consumption_sp33,profiled_spm_consumption_sp34,profiled_spm_consumption_sp35,profiled_spm_consumption_sp36,profiled_spm_consumption_sp37,profiled_spm_consumption_sp38,profiled_spm_consumption_sp39,profiled_spm_consumption_sp40
18/01/2023 00:00,SF,26.752,28.039,27.108,26.632,26.208,25.866,25.428,25.209,24.744,24.24,24.438,24.902,27.233,30.504,31.997,32.567,34.606,34.859,35.559,35.297,35.168,35.32,35.004,35.156,36.025,36.723,36.936,35.765,35.179,34.668,35.172,36.442,39.033,43.469,46.995,49.316,50.366,48.707,46.086,44.095
18/01/2023 00:00,R1,26.659,27.614,26.709,26.222,25.796,25.432,25.004,24.748,24.291,23.816,24.034,24.483,26.826,30.089,31.703,32.643,34.724,34.983,35.703,35.452,35.339,35.483,35.165,35.288,36.174,36.848,37.066,35.898,35.304,34.782,35.281,36.535,39.153,43.594,47.099,49.427,50.486,48.807,46.145,44.185
19/01/2023 00:00,SF,26.516,27.831,26.534,26.32,25.695,25.302,24.778,24.291,23.882,23.411,23.647,24.222,26.528,29.441,31.394,31.768,34.07,34.684,35.26,35.287,35.081,34.706,34.629,35.022,35.786,36.259,36.744,35.611,34.729,34.253,34.93,36.63,39.209,43.518,47.434,49.613,50.088,48.44,45.953,44.08
19/01/2023 00:00,R1,26.411,27.411,26.149,25.927,25.302,24.891,24.379,23.869,23.449,22.991,23.259,23.841,26.132,29.048,31.099,31.792,34.146,34.75,35.333,35.36,35.173,34.794,34.72,35.098,35.862,36.321,36.809,35.685,34.798,34.32,34.995,36.665,39.265,43.58,47.488,49.651,50.134,48.469,45.952,44.105
20/01/2023 00:00,SF,25.4,26.485,25.598,25.127,24.543,24.169,23.78,23.32,23.144,22.791,23.016,23.358,25.564,28.428,30.346,30.909,33.229,33.939,34.642,34.503,34.694,34.27,34.052,34.566,35.432,35.619,35.524,35.146,34.12,33.877,34.185,35.183,37.805,41.583,44.928,46.347,47.265,46.097,43.706,41.523
20/01/2023 00:00,R1,25.318,26.137,25.273,24.806,24.229,23.841,23.456,22.991,22.815,22.454,22.701,23.041,25.234,28.112,30.08,30.93,33.274,33.992,34.707,34.56,34.764,34.346,34.122,34.622,35.503,35.673,35.574,35.179,34.148,33.907,34.213,35.201,37.828,41.621,44.94,46.363,47.279,46.126,43.681,41.514
21/01/2023 00:00,SF,26.396,27.89,26.806,26.36,25.41,25.033,24.254,23.557,22.964,22.596,22.621,22.646,23.565,24.923,25.195,25.958,28.579,30.696,32.74,34.9,35.082,35.497,36.503,37.034,37.485,38.028,38.388,37.613,36.267,36.091,36.654,37.251,39.008,42.404,45.308,47.628,48.031,46.558,44.363,41.395
21/01/2023 00:00,R1,26.329,27.522,26.475,26.017,25.078,24.685,23.911,23.21,22.62,22.271,22.308,22.327,23.251,24.644,24.959,25.961,28.621,30.737,32.754,34.926,35.122,35.557,36.559,37.075,37.556,38.047,38.402,37.632,36.272,36.102,36.649,37.255,39.013,42.425,45.333,47.632,48.057,46.585,44.346,41.411
22/01/2023 00:00,SF,28.402,29.65,28.302,27.627,26.784,25.931,25.605,25.062,24.442,23.691,23.633,23.501,24.128,25.323,24.774,26.313,28.609,30.617,34.598,36.469,37.737,38.44,39.557,40.452,42.34,42.948,42.943,41.56,41.292,40.804,40.85,41.594,43.851,48.012,51.092,52.09,51.706,48.719,46.239,44.235
22/01/2023 00:00,R1,28.291,29.209,27.908,27.224,26.4,25.543,25.212,24.663,24.037,23.299,23.276,23.154,23.775,25,24.508,26.308,28.644,30.636,34.623,36.486,37.779,38.492,39.603,40.518,42.393,42.95,42.951,41.546,41.272,40.782,40.828,41.561,43.827,48.023,51.11,52.075,51.699,48.686,46.192,44.196
23/01/2023 00:00,SF,25.782,26.99,26.114,25.705,25.179,24.72,24.31,23.987,23.452,22.989,23.223,23.861,25.992,29.043,30.686,31.125,32.998,33.853,34.448,34.443,34.553,34.538,34.569,35.23,35.889,36.279,36.373,35.636,34.592,34.018,34.297,35.455,38.252,42.666,46.486,49.131,49.711,47.931,45.498,43.394
23/01/2023 00:00,R1,25.644,26.589,25.751,25.334,24.804,24.338,23.939,23.578,23.048,22.596,22.861,23.495,25.611,28.685,30.401,31.16,33.054,33.912,34.507,34.504,34.615,34.617,34.638,35.275,35.954,36.336,36.397,35.685,34.634,34.057,34.314,35.461,38.267,42.678,46.489,49.126,49.734,47.933,45.489,43.402
24/01/2023 00:00,SF,25.343,26.475,25.68,25.308,24.842,24.442,24.086,23.496,23.011,22.559,22.737,23.268,25.464,28.441,30.2,30.509,32.335,33.054,33.536,33.447,33.088,32.9,32.986,33.484,33.887,34.277,34.356,33.758,32.779,32.558,33.042,34.173,36.783,41.318,45.586,47.409,48.33,46.869,44.887,42.763
24/01/2023 00:00,R1,25.228,26.205,25.424,25.035,24.572,24.177,23.809,23.21,22.725,22.279,22.456,22.999,25.16,28.18,30.013,30.563,32.376,33.109,33.626,33.531,33.181,32.995,33.073,33.56,33.964,34.332,34.421,33.827,32.831,32.627,33.09,34.22,36.833,41.369,45.623,47.437,48.379,46.902,44.887,42.796
25/01/2023 00:00,SF,25.271,26.202,25.423,24.822,24.409,23.947,23.456,23.21,22.767,22.302,22.536,23.106,25.371,28.464,29.936,30.502,32.365,32.705,33.424,33.28,33.236,33.116,32.841,32.947,33.895,34.336,34.469,33.457,32.926,32.454,32.829,33.97,36.551,40.875,44.499,46.887,48.206,46.638,44.08,42.088
25/01/2023 00:00,R1,25.151,25.908,25.141,24.542,24.123,23.658,23.181,22.915,22.475,22.015,22.25,22.811,25.064,28.176,29.734,30.533,32.421,32.752,33.485,33.339,33.317,33.182,32.912,32.994,33.949,34.372,34.526,33.513,32.964,32.479,32.874,33.978,36.573,40.898,44.49,46.886,48.211,46.631,44.035,42.077
26/01/2023 00:00,SF,24.422,25.426,24.241,23.885,23.252,22.753,22.162,21.67,21.221,20.983,21.288,22.008,24.302,27.149,29.072,29.467,31.43,32.013,32.53,32.601,32.571,31.966,31.953,32.229,33.075,33.257,33.646,32.669,31.874,31.389,31.974,33.507,36.129,40.389,44.42,46.614,47.395,45.852,43.366,41.575
26/01/2023 00:00,R1,24.294,25.11,23.946,23.594,22.982,22.46,21.883,21.368,20.931,20.691,21.001,21.697,23.959,26.848,28.841,29.453,31.42,31.99,32.533,32.609,32.58,31.974,31.949,32.218,33.072,33.25,33.656,32.673,31.878,31.385,31.956,33.478,36.111,40.367,44.371,46.565,47.346,45.799,43.285,41.504
27/01/2023 00:00,SF,24.324,25.076,24.099,23.637,22.858,22.451,22.08,21.443,21.14,20.948,21.405,21.765,24.166,27.327,29.868,30.369,32.902,33.229,33.517,32.993,32.96,32.815,32.631,33.058,33.797,34.368,34.177,33.535,33.03,32.945,33.516,35.596,39.179,43.403,45.774,45.169,44.961,43.882,42.172,40.273
27/01/2023 00:00,R1,24.146,24.742,23.764,23.309,22.543,22.151,21.765,21.123,20.82,20.639,21.088,21.454,23.797,26.978,29.563,30.257,32.804,33.14,33.425,32.913,32.898,32.734,32.562,32.959,33.728,34.288,34.09,33.434,32.948,32.849,33.41,35.482,39.046,43.249,45.571,44.995,44.793,43.716,41.992,40.123
28/01/2023 00:00,SF,25.033,25.556,24.446,23.814,23.081,22.617,21.72,20.928,20.383,19.977,20.057,20.918,21.932,23.127,23.941,24.808,27.567,29.81,32.322,33.509,33.542,32.879,33.999,34.197,34.886,35.141,35.501,34.607,34.677,34.593,34.772,36.541,39.131,43.092,44.957,44.782,44.878,43.33,41.341,39.312
28/01/2023 00:00,R1,24.833,25.21,24.119,23.499,22.783,22.294,21.404,20.62,20.077,19.685,19.765,20.606,21.607,22.829,23.673,24.739,27.492,29.73,32.208,33.38,33.422,32.787,33.862,34.086,34.794,35.028,35.386,34.462,34.544,34.464,34.622,36.38,38.987,42.921,44.768,44.592,44.698,43.149,41.157,39.15
29/01/2023 00:00,SF,24.386,25.248,23.433,23.212,22.046,21.404,20.638,20.147,19.931,19.475,19.468,19.83,20.771,21.835,22.291,23.478,26.314,28.985,30.684,32.606,34.042,33.411,34.844,36.304,37.41,37.416,37.202,37.424,36.952,36.436,37.112,40.191,43.609,47.719,48.749,48.89,47.702,45.639,43.315,40.974
29/01/2023 00:00,R1,24.192,24.911,23.122,22.885,21.743,21.088,20.341,19.855,19.628,19.176,19.188,19.541,20.459,21.55,22.047,23.398,26.222,28.872,30.581,32.484,33.924,33.261,34.715,36.177,37.275,37.241,37.057,37.281,36.815,36.273,36.944,39.988,43.412,47.497,48.518,48.651,47.471,45.415,43.1,40.776
30/01/2023 00:00,SF,22.918,23.663,22.653,22.17,21.447,20.882,20.437,19.918,19.343,19.227,19.812,20.64,22.943,26.226,28.538,28.975,30.906,31.496,31.603,31.281,31.278,31.187,31.287,31.763,32.445,32.957,32.924,32.053,31.604,31.235,31.781,33.984,37.952,42.852,45.788,46.272,45.78,43.999,42.206,40.357
30/01/2023 00:00,R1,22.675,23.265,22.284,21.823,21.092,20.519,20.079,19.563,19.004,18.9,19.482,20.275,22.55,25.84,28.16,28.753,30.689,31.254,31.373,31.079,31.09,30.986,31.093,31.545,32.224,32.723,32.686,31.811,31.394,31.015,31.541,33.732,37.663,42.513,45.393,45.875,45.411,43.643,41.866,40.051
